"uhgv_genome","uhgv_votu","genome_length","is_jumbo_phage","gc_percent","cds_count","cds_density","avg_cds_length","cds_strand_switch_rate","genetic_code","is_recoded","trna_count_total","trna_count_suppressor","checkv_quality","checkv_completeness","checkv_completeness_method","checkv_trimmed","viral_confidence","genomad_virus_score","genomad_virus_hallmarks","genomad_plasmid_hallmarks","viralverify_prediction","viralverify_score","checkv_viral_markers","checkv_host_markers","uhgv_taxonomy","ictv_taxonomy","ictv_taxonomy_method","ictv_taxonomy_evidence","realm_name","kingdom_name","phylum_name","class_name","order_name","family_name","subfamily_name","genus_name","taxon_alias","crispr_host_lineage_gtdb_r207","crispr_total_connections","crispr_host_agreement","kmers_host_lineage_gtdb_r207","kmers_total_connections","kmers_host_agreement","host_lineage_gtdb_r207","host_prediction_method","crispr_host_range_genus_entropy","kmers_host_range_genus_entropy","crispr_host_range_red","kmers_host_range_red","bacphlip_temperate_score","bacphlip_virulent_score","has_integrase","lifestyle","lifestyle_evidence","dgr_present","anticrispr_num_genes","abricate_num_genes","http_url","MappedOnlyUHGV"
"UHGV-0352182","vOTU-060026",6712,"No",39.05,9,90.29,673.333,0,11,"No",0,0,"High-quality","99.9","AAI-based","No","Confident",0.9825,2,0,"Virus","11.86",4,0,"vFAM-00030;vSUBFAM-00119;vGENUS-00056;vSUBGEN-00035;vOTU-060026","root;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae","top-genome-hit","accession=AJ270057; proteomic-score=0.055; lca-rank=family","Monodnaviria","Sangervirae","Phixviricota","Malgrandaviricetes","Petitvirales","Microviridae","NULL","NULL","Microviridae","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris","5","100","NULL","NULL","NULL","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris","CRISPR","0.0","NULL","0.0","NULL",0.188122,0.811878,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-035/UHGV-0352182",TRUE
"UHGV-2058757","vOTU-014434",48622,"No",41.17,82,91.9,544.939,13.58,11,"No",0,0,"High-quality","99.9","AAI-based","No","Confident",0.9774,11,0,"Virus","76.85",26,0,"vFAM-00001;vSUBFAM-00108;vGENUS-01264;vSUBGEN-03634;vOTU-014434","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=LN681542; proteomic-score=0.101; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis","72","76.39","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis","151","95.36","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis","PHIST","0.539657","0.079611","0.0","0.0",0.825,0.175,"No","temperate","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-205/UHGV-2058757",FALSE
"UHGV-0224596","vOTU-049239",42964,"No",61.62,47,95.35,871.596,8.7,11,"No",0,0,"Complete","100","DTR","No","Confident",0.9789,6,0,"Virus","39.07",12,0,"vFAM-00005;vSUBFAM-02939;vGENUS-03926;vSUBGEN-16055;vOTU-049239","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=MK977715; proteomic-score=0.077; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii","18","88.89","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii","11","90.91","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii","CRISPR","0.214559","0.304636","0.0","0.0",1,0,"No","temperate","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-022/UHGV-0224596",FALSE
"UHGV-1917515","vOTU-129823",20203,"No",44.25,21,85.62,823.714,10,11,"No",0,0,"Low-quality","13.63","AAI-based","No","Uncertain",0.8382,2,0,"Uncertain - viral or bacterial","-5.24",0,1,"vFAM-00048;vSUBFAM-04830;vGENUS-09135;vOTU-129823","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=LC168164; proteomic-score=0.063; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","NULL","NULL","NULL","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","246","78.05","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","PHIST","NULL","1.32436","NULL","NULL",1,0,"Yes","temperate","integrase","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-191/UHGV-1917515",FALSE
"UHGV-2049192","vOTU-026965",13680,"No",42.83,7,96.73,1890.43,0,11,"No",0,0,"Low-quality","18.01","AAI-based","No","Uncertain",0.9521,0,0,"Uncertain - viral or bacterial","3.59",0,1,"vFAM-00001;vOTU-026965","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=MF612073; proteomic-score=0.133; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae","2","100","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae","1645","92.52","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae","PHIST","0.693147","2.49303","NULL","NULL",0,1,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-204/UHGV-2049192",TRUE
"UHGV-2150436","vOTU-104568",12441,"No",48.38,18,84.81,586.167,11.76,11,"No",0,0,"Low-quality","20.8","AAI-based","No","Uncertain",0.9598,1,0,"Uncertain - viral or bacterial","0.9",0,2,"vFAM-00009;vSUBFAM-00185;vOTU-104568","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=8; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus","56","75","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","2105","95.96","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","PHIST","0.440852","0.970141","NULL","NULL",0.116646,0.883354,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-215/UHGV-2150436",TRUE
"UHGV-2067813","vOTU-020057",13809,"No",65.02,14,94.31,930.214,0,11,"No",0,0,"Low-quality","16.11","HMM-based","No","Confident",0.8701,6,0,"Virus","22.13",10,0,"vFAM-00058;vOTU-020057","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=JN808773; proteomic-score=0.067; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila wadsworthia","1","100","d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila wadsworthia","943","99.68","d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila wadsworthia","PHIST","0.0","0.00832294","NULL","NULL",0,1,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-206/UHGV-2067813",TRUE
"UHGV-1963088","vOTU-088526",10958,"No",38.83,15,81.69,596.8,7.14,11,"No",0,0,"Low-quality","18.3","AAI-based","No","Uncertain",0.8428,0,0,"Uncertain - plasmid or chromosomal","2.01",0,1,"vFAM-00017;vOTU-088526","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=4; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp000432435","4","100","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae","247","89.07","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae","PHIST","0.0","2.07773","NULL","NULL",0.228687,0.771313,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-196/UHGV-1963088",TRUE
"UHGV-1462948","vOTU-144973",22462,"No",51.11,5,85.93,3860.4,0,11,"No",0,0,"Medium-quality","55.35","AAI-based","No","Uncertain",0.7615,0,0,"Uncertain - plasmid or chromosomal","1.28",0,0,"vFAM-00628;vOTU-144973","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=2; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","NULL","NULL","NULL","d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus","94","97.87","d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus","PHIST","NULL","0.102967","NULL","NULL",0.0594714,0.940529,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-146/UHGV-1462948",TRUE
"UHGV-1960134","vOTU-092398",14054,"No",60.95,20,86.3,606.45,15.79,11,"No",0,0,"Low-quality","27.28","AAI-based","No","Uncertain",0.977,2,0,"Uncertain - plasmid or chromosomal","3.38",0,2,"vFAM-00001;vSUBFAM-00725;vGENUS-01575;vOTU-092398","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=MG711467; proteomic-score=0.146; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes_A","5","60","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae","17","94.12","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae","PHIST","1.05492","1.73154","NULL","NULL",0.13717,0.86283,"No","lytic","BACPHLIP","Yes",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-196/UHGV-1960134",TRUE
"UHGV-0109202","vOTU-070235",35385,"No",58.92,55,93.54,601.8,7.41,11,"No",0,0,"High-quality","99.9","AAI-based","No","Confident",0.9778,12,0,"Virus","35.88",9,1,"vFAM-00005;vSUBFAM-00633;vGENUS-02900;vSUBGEN-16996;vOTU-070235","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=DQ840344; proteomic-score=0.083; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales","13","100","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066825","22","100","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066825","PHIST","1.05791","0.0","0.176926","0.0",0.9625,0.0375,"Yes","temperate","integrase","No",1,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-010/UHGV-0109202",FALSE
"UHGV-0312869","vOTU-015899",24066,"No",37.94,43,91.76,513.558,2.22,11,"No",0,0,"Medium-quality","80.35","HMM-based","No","Confident",0.974,3,0,"Virus","34.63",13,0,"vFAM-00097;vOTU-015899","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=DQ490056; proteomic-score=0.405; lca-rank=subfamily","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius","2","100","NULL","NULL","NULL","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius","CRISPR","0.0","NULL","0.0","NULL",0.188122,0.811878,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-031/UHGV-0312869",FALSE
"UHGV-2051201","vOTU-007609",63888,"No",38.45,79,92.04,744.304,6.41,11,"No",0,0,"High-quality","98.77","AAI-based","No","Confident",0.9715,8,0,"Uncertain - viral or bacterial","5.23",11,2,"vFAM-00009;vSUBFAM-00278;vGENUS-00675;vSUBGEN-01233;vOTU-007609","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=53; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola","56","73.21","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","839","97.5","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","PHIST","0.646722","0.129557","0.0","0.007517",1,0,"No","temperate","BACPHLIP","Yes",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-205/UHGV-2051201",FALSE
"UHGV-0388954","vOTU-073071",39629,"No",51.35,57,89.4,621.579,14.29,11,"No",0,0,"High-quality","99.43","AAI-based","No","Confident",0.9755,4,0,"Virus","11.89",10,1,"vFAM-00040;vSUBFAM-02845;vGENUS-05416;vSUBGEN-17287;vOTU-073071","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=27; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans","291","98.63","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans","39","94.87","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans","CRISPR","0.0458411","0.237819","0.0","0.0",0.9,0.1,"No","temperate","BACPHLIP","No",1,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-038/UHGV-0388954",FALSE
"UHGV-2150250","vOTU-083390",45036,"No",47.19,46,92.37,904.304,9.09,11,"No",1,0,"High-quality","99.9","AAI-based","No","Uncertain",0.9612,3,0,"Chromosome","-8.2",3,6,"vFAM-00028;vSUBFAM-00344;vGENUS-00375;vSUBGEN-17340;vOTU-083390","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=24; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis","115","93.91","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis","2250","97.38","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis","PHIST","0.13747","0.0765875","NULL","NULL",1,0,"No","temperate","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-215/UHGV-2150250",FALSE
"UHGV-2179353","vOTU-140418",13371,"No",37.07,16,93.94,785.062,0,11,"No",0,0,"Low-quality","8.29","HMM-based","No","Uncertain",0.8428,0,0,"Uncertain - viral or bacterial","5.93",2,0,"vFAM-00003;vOTU-140418","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=4; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","NULL","NULL","NULL","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae","53","96.23","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae","PHIST","NULL","1.99863","NULL","NULL",0.199453,0.800547,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-217/UHGV-2179353",TRUE
"UHGV-1845744","vOTU-141428",16123,"No",51.61,20,87.49,705.3,15.79,11,"No",0,0,"Low-quality","15.9","AAI-based","No","Confident",0.9626,3,0,"Uncertain - viral or bacterial","1.57",5,0,"vFAM-00111;vSUBFAM-00351;vGENUS-10842;vOTU-141428","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=16; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis","7","100","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales","1130","99.03","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales","PHIST","0.0","1.5516","NULL","NULL",0.188122,0.811878,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-184/UHGV-1845744",TRUE
"UHGV-0036359","vOTU-084403",86259,"No",44.66,111,84.82,659.108,23.08,11,"No",0,0,"High-quality","95.05","HMM-based","Yes","Uncertain",0.9524,13,0,"Uncertain - viral or bacterial","-2.79",6,12,"vFAM-00066;vSUBFAM-05481;vGENUS-12019;vSUBGEN-17790;vOTU-084403","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=60; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola","282","90.07","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","2160","92.96","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","PHIST","0.443953","0.975632","NULL","NULL",0.2,0.8,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-003/UHGV-0036359",FALSE
"UHGV-1668578","vOTU-105289",10058,"No",48.24,7,92.25,1325.57,16.67,11,"No",0,0,"Low-quality","15.41","AAI-based","No","Uncertain",0.8699,1,0,"Uncertain - viral or bacterial","-1.24",1,0,"vFAM-00009;vSUBFAM-00023;vGENUS-01397;vOTU-105289","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=2; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","NULL","NULL","NULL","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis","2263","72.38","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis","PHIST","NULL","0.794443","NULL","NULL",0.101343,0.898657,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-166/UHGV-1668578",TRUE
"UHGV-0042626","vOTU-025818",21984,"No",45.9,32,83.52,573.75,32.26,11,"No",0,0,"Medium-quality","51.69","AAI-based","No","Uncertain",0.9008,1,0,"Uncertain - viral or bacterial","2.51",2,1,"vFAM-00003;vOTU-025818","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=6; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae","270","98.89","d__Bacteria;p__Firmicutes_A;c__Clostridia","752","80.59","d__Bacteria;p__Firmicutes_A;c__Clostridia","PHIST","1.81595","3.18893","NULL","NULL",0.9875,0.0125,"Yes","temperate","integrase","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-004/UHGV-0042626",TRUE
"UHGV-2145304","vOTU-148539",15880,"No",46.11,17,89.28,834,25,11,"No",0,0,"Low-quality","9.57","AAI-based","No","Uncertain",0.8692,1,0,"Uncertain - viral or bacterial","-1",0,0,"vFAM-00009;vSUBFAM-00023;vGENUS-14926;vOTU-148539","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=LC168164; proteomic-score=0.077; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","NULL","NULL","NULL","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","537","82.31","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","PHIST","NULL","1.49468","NULL","NULL",1,0,"No","temperate","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-214/UHGV-2145304",FALSE
"UHGV-1997132","vOTU-086650",49683,"No",51.39,55,94.95,857.727,7.41,11,"No",0,0,"High-quality","99.9","AAI-based","No","Confident",0.9662,11,0,"Virus","61.19",25,0,"vFAM-00001;vSUBFAM-00011;vGENUS-03998;vSUBGEN-17948;vOTU-086650","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=EU861005; proteomic-score=0.084; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","NULL","NULL","NULL","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter timonensis","4","100","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter timonensis","PHIST","NULL","0.0","NULL","0.0",0.9375,0.0625,"Yes","temperate","integrase","No",3,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-199/UHGV-1997132",FALSE
"UHGV-2153907","vOTU-062518",60867,"No",40.75,88,88.7,613.534,12.64,11,"No",1,0,"High-quality","99.37","AAI-based","No","Confident",0.9773,10,0,"Virus","42.71",13,3,"vFAM-00009;vSUBFAM-00023;vGENUS-12075;vSUBGEN-17951;vOTU-062518","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=56; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","55","83.64","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis","761","89.75","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis","PHIST","0.67917","0.209775","0.041513","0.0",0.327478,0.672522,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-215/UHGV-2153907",FALSE
"UHGV-1977782","vOTU-125758",10580,"No",45.92,15,91.59,646,28.57,11,"No",0,0,"Low-quality","28.34","AAI-based","No","Uncertain",0.9497,4,0,"Uncertain - viral or bacterial","3.2",2,0,"vFAM-00001;vSUBFAM-00174;vOTU-125758","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=11; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","NULL","NULL","NULL","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_AP","124","98.39","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_AP","PHIST","NULL","0.0937447","NULL","NULL",1,0,"No","temperate","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-197/UHGV-1977782",FALSE
"UHGV-2180998","vOTU-083649",8065,"No",43.97,12,81.98,551,10,11,"No",0,0,"High-quality","99.9","AAI-based","No","Confident",0.9434,0,0,"Uncertain - viral or bacterial","-3.74",0,1,"vFAM-00072;vSUBFAM-00266;vGENUS-12134;vSUBGEN-18076;vOTU-083649","root;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae","geNomad-markers","gene-hits=6; agreement=0.9659","Monodnaviria","Loebvirae","Hofneiviricota","Faserviricetes","Tubulavirales","Inoviridae","NULL","NULL","Inoviridae","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster","17","100","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster","202","95.54","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster","PHIST","0.0","0.256875","0.0","0.0",0.243821,0.756179,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-218/UHGV-2180998",FALSE
